      XGAUSS          WGAUSS
159 : 5.8397e-001     6.3677e-003
160 : -5.8397e-001     6.3677e-003
161 : 5.9032e-001     6.3316e-003
162 : -5.9032e-001     6.3316e-003
163 : 5.9663e-001     6.2951e-003
164 : -5.9663e-001     6.2951e-003
165 : 6.0291e-001     6.2581e-003
166 : -6.0291e-001     6.2581e-003
167 : 6.0915e-001     6.2209e-003
168 : -6.0915e-001     6.2209e-003
169 : 6.1535e-001     6.1832e-003
170 : -6.1535e-001     6.1832e-003
171 : 6.2152e-001     6.1451e-003
172 : -6.2152e-001     6.1451e-003
173 : 6.2764e-001     6.1067e-003
174 : -6.2764e-001     6.1067e-003
175 : 6.3373e-001     6.0679e-003
176 : -6.3373e-001     6.0679e-003
177 : 6.3978e-001     6.0287e-003
178 : -6.3978e-001     6.0287e-003
179 : 6.4579e-001     5.9892e-003
180 : -6.4579e-001     5.9892e-003
181 : 6.5176e-001     5.9492e-003
182 : -6.5176e-001     5.9492e-003
183 : 6.5769e-001     5.9090e-003
184 : -6.5769e-001     5.9090e-003
185 : 6.6357e-001     5.8683e-003
186 : -6.6357e-001     5.8683e-003
187 : 6.6942e-001     5.8273e-003
188 : -6.6942e-001     5.8273e-003
189 : 6.7523e-001     5.7859e-003
190 : -6.7523e-001     5.7859e-003
191 : 6.8099e-001     5.7442e-003
192 : -6.8099e-001     5.7442e-003
193 : 6.8672e-001     5.7021e-003
194 : -6.8672e-001     5.7021e-003
195 : 6.9240e-001     5.6597e-003
196 : -6.9240e-001     5.6597e-003
197 : 6.9804e-001     5.6169e-003
198 : -6.9804e-001     5.6169e-003
199 : 7.0363e-001     5.5738e-003
200 : -7.0363e-001     5.5738e-003
201 : 7.0918e-001     5.5303e-003
202 : -7.0918e-001     5.5303e-003
203 : 7.1469e-001     5.4865e-003
204 : -7.1469e-001     5.4865e-003
205 : 7.2016e-001     5.4424e-003
206 : -7.2016e-001     5.4424e-003
207 : 7.2558e-001     5.3979e-003
208 : -7.2558e-001     5.3979e-003
209 : 7.3095e-001     5.3531e-003
210 : -7.3095e-001     5.3531e-003
211 : 7.3628e-001     5.3079e-003
212 : -7.3628e-001     5.3079e-003
213 : 7.4157e-001     5.2625e-003
214 : -7.4157e-001     5.2625e-003
215 : 7.4681e-001     5.2167e-003
216 : -7.4681e-001     5.2167e-003
217 : 7.5200e-001     5.1706e-003
218 : -7.5200e-001     5.1706e-003
219 : 7.5715e-001     5.1241e-003
220 : -7.5715e-001     5.1241e-003
221 : 7.6225e-001     5.0774e-003
222 : -7.6225e-001     5.0774e-003
223 : 7.6730e-001     5.0303e-003
224 : -7.6730e-001     5.0303e-003
225 : 7.7231e-001     4.9830e-003
226 : -7.7231e-001     4.9830e-003
227 : 7.7727e-001     4.9353e-003
228 : -7.7727e-001     4.9353e-003
229 : 7.8218e-001     4.8873e-003
230 : -7.8218e-001     4.8873e-003
231 : 7.8704e-001     4.8390e-003
232 : -7.8704e-001     4.8390e-003
233 : 7.9186e-001     4.7905e-003
234 : -7.9186e-001     4.7905e-003
235 : 7.9662e-001     4.7416e-003
236 : -7.9662e-001     4.7416e-003
237 : 8.0134e-001     4.6924e-003
238 : -8.0134e-001     4.6924e-003
239 : 8.0601e-001     4.6430e-003
240 : -8.0601e-001     4.6430e-003
241 : 8.1063e-001     4.5932e-003
242 : -8.1063e-001     4.5932e-003
243 : 8.1520e-001     4.5432e-003
244 : -8.1520e-001     4.5432e-003
245 : 8.1971e-001     4.4929e-003
246 : -8.1971e-001     4.4929e-003
247 : 8.2418e-001     4.4424e-003
248 : -8.2418e-001     4.4424e-003
249 : 8.2860e-001     4.3915e-003
250 : -8.2860e-001     4.3915e-003
251 : 8.3296e-001     4.3404e-003
252 : -8.3296e-001     4.3404e-003
253 : 8.3728e-001     4.2890e-003
254 : -8.3728e-001     4.2890e-003
255 : 8.4154e-001     4.2373e-003
256 : -8.4154e-001     4.2373e-003
257 : 8.4575e-001     4.1854e-003
258 : -8.4575e-001     4.1854e-003
259 : 8.4991e-001     4.1333e-003
260 : -8.4991e-001     4.1333e-003
261 : 8.5402e-001     4.0808e-003
262 : -8.5402e-001     4.0808e-003
263 : 8.5807e-001     4.0282e-003
264 : -8.5807e-001     4.0282e-003
265 : 8.6208e-001     3.9753e-003
266 : -8.6208e-001     3.9753e-003
267 : 8.6602e-001     3.9221e-003
268 : -8.6602e-001     3.9221e-003
269 : 8.6992e-001     3.8687e-003
270 : -8.6992e-001     3.8687e-003
271 : 8.7376e-001     3.8150e-003
272 : -8.7376e-001     3.8150e-003
273 : 8.7755e-001     3.7612e-003
274 : -8.7755e-001     3.7612e-003
275 : 8.8128e-001     3.7070e-003
276 : -8.8128e-001     3.7070e-003
277 : 8.8496e-001     3.6527e-003
278 : -8.8496e-001     3.6527e-003
279 : 8.8859e-001     3.5981e-003
280 : -8.8859e-001     3.5981e-003
281 : 8.9216e-001     3.5433e-003
282 : -8.9216e-001     3.5433e-003
283 : 8.9568e-001     3.4883e-003
284 : -8.9568e-001     3.4883e-003
285 : 8.9914e-001     3.4331e-003
286 : -8.9914e-001     3.4331e-003
287 : 9.0254e-001     3.3777e-003
288 : -9.0254e-001     3.3777e-003
289 : 9.0589e-001     3.3221e-003
290 : -9.0589e-001     3.3221e-003
291 : 9.0919e-001     3.2662e-003
292 : -9.0919e-001     3.2662e-003
293 : 9.1242e-001     3.2102e-003
294 : -9.1242e-001     3.2102e-003
295 : 9.1561e-001     3.1539e-003
296 : -9.1561e-001     3.1539e-003
297 : 9.1873e-001     3.0975e-003
298 : -9.1873e-001     3.0975e-003
299 : 9.2180e-001     3.0409e-003
300 : -9.2180e-001     3.0409e-003
301 : 9.2481e-001     2.9841e-003
302 : -9.2481e-001     2.9841e-003
303 : 9.2777e-001     2.9271e-003
304 : -9.2777e-001     2.9271e-003
305 : 9.3067e-001     2.8699e-003
306 : -9.3067e-001     2.8699e-003
307 : 9.3351e-001     2.8125e-003
308 : -9.3351e-001     2.8125e-003
309 : 9.3629e-001     2.7550e-003
310 : -9.3629e-001     2.7550e-003
311 : 9.3902e-001     2.6973e-003
312 : -9.3902e-001     2.6973e-003
313 : 9.4169e-001     2.6395e-003
314 : -9.4169e-001     2.6395e-003
315 : 9.4430e-001     2.5814e-003
316 : -9.4430e-001     2.5814e-003
317 : 9.4685e-001     2.5232e-003
318 : -9.4685e-001     2.5232e-003
319 : 9.4934e-001     2.4649e-003
320 : -9.4934e-001     2.4649e-003
321 : 9.5178e-001     2.4064e-003
322 : -9.5178e-001     2.4064e-003
323 : 9.5416e-001     2.3478e-003
324 : -9.5416e-001     2.3478e-003
325 : 9.5648e-001     2.2890e-003
326 : -9.5648e-001     2.2890e-003
327 : 9.5874e-001     2.2301e-003
328 : -9.5874e-001     2.2301e-003
329 : 9.6094e-001     2.1710e-003
330 : -9.6094e-001     2.1710e-003
331 : 9.6308e-001     2.1118e-003
332 : -9.6308e-001     2.1118e-003
333 : 9.6516e-001     2.0525e-003
334 : -9.6516e-001     2.0525e-003
335 : 9.6718e-001     1.9930e-003
336 : -9.6718e-001     1.9930e-003
337 : 9.6915e-001     1.9335e-003
338 : -9.6915e-001     1.9335e-003
339 : 9.7105e-001     1.8738e-003
340 : -9.7105e-001     1.8738e-003
341 : 9.7289e-001     1.8140e-003
342 : -9.7289e-001     1.8140e-003
